管理番号,消火器種別,所在,経度,緯度,備考
都-315-12,強化液消火器（３型）,東京都台東区台東1-33-8,139.7782076,35.70234546,
都-315-13,強化液消火器（３型）,東京都台東区台東1-32-2,139.7774937,35.70238476,
都-315-14,強化液消火器（３型）,東京都台東区台東1-30-8,139.7762202,35.70247266,
都-315-15,強化液消火器（３型）,東京都台東区台東2-8-2,139.7761613,35.70272055,
都-315-16,強化液消火器（３型）,東京都台東区台東2-6-1,139.7778297,35.70259834,
都-315-17,強化液消火器（３型）,東京都台東区台東2-4-3,139.7789518,35.70250395,
都-315-18,強化液消火器（３型）,東京都台東区台東2-2-1,139.7804445,35.70238254,
都-315-19,強化液消火器（３型）,東京都台東区鳥越1-8-1,139.7812883,35.70230726,
都-315-20,強化液消火器（３型）,東京都台東区鳥越1-4-1,139.7826851,35.70216657,
都-315-21,強化液消火器（３型）,東京都台東区鳥越1-2-2,139.7834049,35.70208339,
都-315-22,強化液消火器（３型）,東京都台東区鳥越2-6-2,139.7846133,35.70194593,
都-315-23,強化液消火器（３型）,東京都台東区鳥越2-4-1,139.7858401,35.70181061,
都-315-24,強化液消火器（３型）,東京都台東区鳥越2-2-5,139.7866581,35.70182366,
都-315-25,強化液消火器（３型）,東京都台東区鳥越2-1-1,139.7876957,35.70187387,
都-315-26,強化液消火器（３型）,東京都台東区蔵前4-2-1,139.7884709,35.70179405,
都-315-27,強化液消火器（３型）,東京都台東区蔵前2-1-15,139.7908012,35.70157755,
都-315-28,強化液消火器（３型）,東京都台東区蔵前2-1-1,139.7922816,35.70153281,
都-319-1,強化液消火器（３型）,東京都台東区花川戸2-16-8,139.8011648,35.7151512,
都-319-2,強化液消火器（３型）,東京都台東区花川戸2-18-5,139.7999543,35.71542205,
都-319-3,強化液消火器（３型）,東京都台東区花川戸2-21-3,139.7986478,35.71549604,
都-319-4,強化液消火器（３型）,東京都台東区浅草2-31-13,139.7979939,35.71586457,
都-319-5,強化液消火器（３型）,東京都台東区浅草2-30-17,139.7971956,35.71605342,
都-319-6,強化液消火器（３型）,東京都台東区浅草2-30-17,139.7962962,35.71628268,
都-319-7,強化液消火器（３型）,東京都台東区浅草2-27-9,139.7951324,35.71657677,
都-319-8,強化液消火器（３型）,東京都台東区浅草2-21-7,139.7936426,35.71696139,
都-319-9,強化液消火器（３型）,東京都台東区西浅草3-28-19,139.792244,35.71730999,
都-319-10,強化液消火器（３型）,東京都台東区西浅草3-28-14,139.7915404,35.71749434,
都-319-11,強化液消火器（３型）,東京都台東区西浅草3-29-19,139.7904935,35.71775772,
都-319-12,強化液消火器（３型）,東京都台東区松が谷4-25-8,139.7890702,35.71810271,
都-319-13,強化液消火器（３型）,東京都台東区松が谷4-26-11,139.7882736,35.71836236,
都-319-14,強化液消火器（３型）,東京都台東区松が谷4-27-15,139.787335,35.71866289,
都-319-15,強化液消火器（３型）,東京都台東区松が谷4-28-8,139.7862321,35.71901817,
